member_id,branch_id,join_date,gender,age_group
M00001,B01,2024-05-23,F,25-34
M00002,B01,2024-07-18,M,18-24
M00003,B01,2023-05-12,F,45+
M00004,B01,2023-12-27,M,45+
M00005,B01,2022-10-22,F,25-34
M00006,B01,2024-10-19,F,25-34
M00007,B01,2023-03-11,F,45+
M00008,B01,2022-10-09,M,18-24
M00009,B01,2023-05-23,M,25-34
M00010,B01,2024-03-31,F,18-24
M00011,B01,2024-07-12,F,35-44
M00012,B01,2024-05-02,M,18-24
M00013,B01,2023-12-19,F,25-34
M00014,B01,2024-10-08,M,35-44
M00015,B01,2022-09-23,M,18-24
M00016,B01,2024-06-08,F,25-34
M00017,B01,2022-11-29,M,18-24
M00018,B01,2023-01-27,F,25-34
M00019,B01,2023-01-30,M,45+
M00020,B01,2024-06-05,M,35-44
M00021,B01,2023-10-26,M,35-44
M00022,B01,2023-04-04,M,25-34
M00023,B01,2024-06-11,F,25-34
M00024,B01,2023-09-07,M,25-34
M00025,B01,2024-08-01,M,18-24
M00026,B01,2023-07-24,F,18-24
M00027,B01,2023-02-28,M,35-44
M00028,B01,2023-01-14,M,25-34
M00029,B01,2024-03-17,M,25-34
M00030,B01,2023-12-30,M,25-34
M00031,B01,2023-11-20,F,35-44
M00032,B01,2023-09-28,F,45+
M00033,B01,2024-11-06,F,25-34
M00034,B01,2022-12-30,M,45+
M00035,B01,2023-03-09,F,18-24
M00036,B01,2024-01-27,M,45+
M00037,B01,2022-09-28,F,18-24
M00038,B01,2024-09-26,M,25-34
M00039,B01,2023-11-12,M,25-34
M00040,B01,2023-12-06,F,25-34
M00041,B01,2024-02-25,M,25-34
M00042,B01,2024-01-21,M,25-34
M00043,B01,2022-10-21,M,18-24
M00044,B01,2023-04-17,F,35-44
M00045,B01,2022-10-04,M,35-44
M00046,B01,2022-08-21,M,35-44
M00047,B01,2024-05-28,M,25-34
M00048,B01,2023-05-22,F,35-44
M00049,B01,2023-11-13,M,35-44
M00050,B01,2024-02-03,M,18-24
M00051,B01,2023-09-08,F,18-24
M00052,B01,2024-02-11,F,35-44
M00053,B01,2023-11-21,F,18-24
M00054,B01,2022-12-01,M,35-44
M00055,B01,2024-07-08,M,35-44
M00056,B01,2023-12-21,F,18-24
M00057,B01,2023-08-10,M,25-34
M00058,B01,2023-08-31,M,35-44
M00059,B01,2023-07-04,F,18-24
M00060,B01,2023-10-01,F,35-44
M00061,B01,2024-07-06,F,35-44
M00062,B01,2022-10-03,M,18-24
M00063,B01,2024-03-09,M,18-24
M00064,B01,2023-07-05,F,18-24
M00065,B01,2023-11-26,F,25-34
M00066,B01,2022-09-10,M,18-24
M00067,B01,2023-09-21,M,35-44
M00068,B01,2024-02-25,F,18-24
M00069,B01,2022-07-28,F,25-34
M00070,B01,2023-11-16,F,18-24
M00071,B01,2023-11-23,M,35-44
M00072,B01,2022-12-18,F,35-44
M00073,B01,2023-11-03,F,25-34
M00074,B01,2023-12-03,M,18-24
M00075,B01,2023-06-19,M,35-44
M00076,B01,2023-11-15,M,25-34
M00077,B01,2023-03-17,M,25-34
M00078,B01,2024-03-20,M,25-34
M00079,B01,2023-11-30,F,25-34
M00080,B01,2023-09-23,M,18-24
M00081,B01,2023-11-06,M,25-34
M00082,B01,2022-09-01,F,18-24
M00083,B01,2024-02-08,M,35-44
M00084,B01,2023-04-30,F,25-34
M00085,B01,2024-04-25,F,35-44
M00086,B01,2023-08-03,F,18-24
M00087,B01,2022-08-17,F,25-34
M00088,B01,2023-04-15,F,25-34
M00089,B01,2024-08-18,M,18-24
M00090,B01,2022-08-11,M,18-24
M00091,B01,2023-06-16,F,25-34
M00092,B01,2022-11-28,F,25-34
M00093,B01,2024-10-20,M,18-24
M00094,B01,2023-06-02,M,25-34
M00095,B01,2023-02-16,M,18-24
M00096,B01,2023-08-21,F,25-34
M00097,B01,2023-05-25,M,35-44
M00098,B01,2024-06-07,M,18-24
M00099,B01,2024-05-29,M,25-34
M00100,B01,2022-08-29,F,25-34
M00101,B01,2023-02-02,M,35-44
M00102,B01,2023-12-12,M,18-24
M00103,B01,2024-06-27,M,18-24
M00104,B01,2023-05-25,M,18-24
M00105,B01,2024-01-01,M,25-34
M00106,B01,2024-05-26,F,18-24
M00107,B01,2024-04-27,F,35-44
M00108,B01,2022-07-18,F,18-24
M00109,B01,2022-10-09,M,25-34
