txn_id,line_no,txn_datetime,txn_date,branch_id,member_id,is_member_sale,member_unidentified,product_id,qty,unit_price,gross_sales,discount_amount,net_amount,line_cost,gross_profit
T0000103,1,2025-01-01,2025-01-01,B05,,0,0,D05,2,230,460,0.0,460.0,124,336.0
T0000103,2,2025-01-01,2025-01-01,B05,,0,0,D01,3,95,285,0.0,285.0,120,165.0
T0000103,3,2025-01-01,2025-01-01,B05,,0,0,D05,4,230,920,0.0,920.0,248,672.0
T0000103,4,2025-01-01,2025-01-01,B05,,0,0,D11,1,40,40,0.0,40.0,14,26.0
T0000083,1,2025-01-01,2025-01-01,B04,,0,0,F05,2,240,480,0.0,480.0,208,272.0
T0000083,2,2025-01-01,2025-01-01,B04,,0,0,D11,1,40,40,0.0,40.0,14,26.0
T0000083,3,2025-01-01,2025-01-01,B04,,0,0,F04,3,250,750,0.0,750.0,378,372.0
T0000086,1,2025-01-01,2025-01-01,B04,,0,0,D11,2,40,80,0.0,80.0,28,52.0
T0000086,2,2025-01-01,2025-01-01,B04,,0,0,D06,1,290,290,0.0,290.0,88,202.0
T0000086,3,2025-01-01,2025-01-01,B04,,0,0,D03,1,100,100,0.0,100.0,43,57.0
T0000086,4,2025-01-01,2025-01-01,B04,,0,0,F01,2,260,520,0.0,520.0,236,284.0
T0000001,1,2025-01-01,2025-01-01,B01,M00254,1,0,D10,1,140,140,0.0,140.0,46,94.0
T0000071,1,2025-01-01,2025-01-01,B03,,0,0,D01,1,95,95,0.0,95.0,40,55.0
T0000071,2,2025-01-01,2025-01-01,B03,,0,0,D09,1,120,120,0.0,120.0,34,86.0
T0000071,3,2025-01-01,2025-01-01,B03,,0,0,F03,1,230,230,0.0,230.0,88,142.0
T0000014,1,2025-01-01,2025-01-01,B01,,0,0,D01,1,95,95,0.0,95.0,40,55.0
T0000060,1,2025-01-01,2025-01-01,B02,,0,0,D04,1,190,190,0.0,190.0,92,98.0
T0000060,2,2025-01-01,2025-01-01,B02,,0,0,F02,2,290,580,0.0,580.0,276,304.0
T0000060,3,2025-01-01,2025-01-01,B02,,0,0,D04,1,190,190,0.0,190.0,92,98.0
T0000057,1,2025-01-01,2025-01-01,B02,,0,0,F04,1,250,250,0.0,250.0,126,124.0
T0000057,2,2025-01-01,2025-01-01,B02,,0,0,D01,1,95,95,0.0,95.0,40,55.0
T0000057,3,2025-01-01,2025-01-01,B02,,0,0,F04,1,250,250,0.0,250.0,126,124.0
T0000097,1,2025-01-01,2025-01-01,B04,M03626,1,0,D11,1,40,40,0.0,40.0,14,26.0
T0000097,2,2025-01-01,2025-01-01,B04,M03626,1,0,D01,2,95,190,0.0,190.0,80,110.0
T0000070,1,2025-01-01,2025-01-01,B03,,0,0,D09,1,120,120,0.0,120.0,34,86.0
T0000070,2,2025-01-01,2025-01-01,B03,,0,0,F01,3,260,780,0.0,780.0,354,426.0
T0000034,1,2025-01-01,2025-01-01,B02,,0,0,F01,2,260,520,0.0,520.0,236,284.0
T0000034,2,2025-01-01,2025-01-01,B02,,0,0,D03,1,100,100,0.0,100.0,43,57.0
T0000050,1,2025-01-01,2025-01-01,B02,,0,0,D09,1,120,120,0.0,120.0,34,86.0
T0000102,1,2025-01-01,2025-01-01,B05,,0,0,F05,2,240,480,0.0,480.0,208,272.0
T0000102,2,2025-01-01,2025-01-01,B05,,0,0,F03,2,230,460,0.0,460.0,176,284.0
T0000102,3,2025-01-01,2025-01-01,B05,,0,0,D01,2,95,190,0.0,190.0,80,110.0
T0000076,1,2025-01-01,2025-01-01,B03,M02874,1,0,D01,4,95,380,0.0,380.0,160,220.0
T0000053,1,2025-01-01,2025-01-01,B02,,0,0,D10,2,140,280,0.0,280.0,92,188.0
T0000008,1,2025-01-01,2025-01-01,B01,,0,0,F01,2,260,520,0.0,520.0,236,284.0
T0000008,2,2025-01-01,2025-01-01,B01,,0,0,F04,1,250,250,0.0,250.0,126,124.0
T0000098,1,2025-01-01,2025-01-01,B04,,0,0,D04,1,190,190,0.0,190.0,92,98.0
T0000098,2,2025-01-01,2025-01-01,B04,,0,0,F02,1,290,290,0.0,290.0,138,152.0
T0000114,1,2025-01-01,2025-01-01,B05,M04723,1,0,D02,2,95,190,0.0,190.0,82,108.0
T0000114,2,2025-01-01,2025-01-01,B05,M04723,1,0,D01,1,95,95,0.0,95.0,40,55.0
T0000114,3,2025-01-01,2025-01-01,B05,M04723,1,0,D11,2,40,80,0.0,80.0,28,52.0
