service_txn_id,service_date,branch_id,service_type,amount,direct_cost
GS000001,2025-01-01,B01,Personal Training,650,380
GS000002,2025-01-01,B01,Personal Training,650,380
GS000003,2025-01-01,B01,Personal Training,650,380
GS000004,2025-01-01,B01,Personal Training,650,380
GS000005,2025-01-01,B01,Group Class,250,90
GS000006,2025-01-01,B01,Group Class,250,90
GS000007,2025-01-01,B01,Group Class,250,90
GS000008,2025-01-01,B01,Group Class,250,90
GS000009,2025-01-01,B01,Group Class,250,90
GS000010,2025-01-01,B01,Group Class,250,90
GS000011,2025-01-01,B01,Group Class,250,90
GS000012,2025-01-01,B01,Group Class,250,90
GS000013,2025-01-01,B01,Group Class,250,90
GS000014,2025-01-01,B01,Group Class,250,90
GS000015,2025-01-01,B01,Group Class,250,90
GS000016,2025-01-01,B01,Group Class,250,90
GS000017,2025-01-01,B01,Day Pass,150,20
GS000018,2025-01-01,B01,Day Pass,150,20
GS000019,2025-01-01,B01,Day Pass,150,20
GS000020,2025-01-01,B01,Day Pass,150,20
GS000021,2025-01-01,B01,Day Pass,150,20
GS000022,2025-01-01,B02,Personal Training,650,380
GS000023,2025-01-01,B02,Personal Training,650,380
GS000024,2025-01-01,B02,Personal Training,650,380
GS000025,2025-01-01,B02,Personal Training,650,380
GS000026,2025-01-01,B02,Personal Training,650,380
GS000027,2025-01-01,B02,Personal Training,650,380
GS000028,2025-01-01,B02,Group Class,250,90
GS000029,2025-01-01,B02,Group Class,250,90
GS000030,2025-01-01,B02,Group Class,250,90
GS000031,2025-01-01,B02,Group Class,250,90
GS000032,2025-01-01,B02,Group Class,250,90
GS000033,2025-01-01,B02,Group Class,250,90
GS000034,2025-01-01,B02,Group Class,250,90
GS000035,2025-01-01,B02,Group Class,250,90
GS000036,2025-01-01,B02,Group Class,250,90
GS000037,2025-01-01,B02,Group Class,250,90
GS000038,2025-01-01,B02,Group Class,250,90
GS000039,2025-01-01,B02,Day Pass,150,20
GS000040,2025-01-01,B02,Day Pass,150,20
GS000041,2025-01-01,B02,Day Pass,150,20
GS000042,2025-01-01,B02,Day Pass,150,20
GS000043,2025-01-01,B02,Day Pass,150,20
GS000044,2025-01-01,B03,Personal Training,650,380
GS000045,2025-01-01,B03,Group Class,250,90
GS000046,2025-01-01,B03,Group Class,250,90
GS000047,2025-01-01,B03,Group Class,250,90
GS000048,2025-01-01,B03,Group Class,250,90
GS000049,2025-01-01,B03,Group Class,250,90
GS000050,2025-01-01,B03,Group Class,250,90
GS000051,2025-01-01,B03,Group Class,250,90
GS000052,2025-01-01,B03,Group Class,250,90
GS000053,2025-01-01,B03,Group Class,250,90
GS000054,2025-01-01,B03,Group Class,250,90
GS000055,2025-01-01,B03,Group Class,250,90
GS000056,2025-01-01,B03,Group Class,250,90
GS000057,2025-01-01,B03,Group Class,250,90
GS000058,2025-01-01,B03,Day Pass,150,20
GS000059,2025-01-01,B03,Day Pass,150,20
GS000060,2025-01-01,B03,Day Pass,150,20
GS000061,2025-01-01,B03,Day Pass,150,20
GS000062,2025-01-01,B03,Day Pass,150,20
GS000063,2025-01-01,B03,Day Pass,150,20
GS000064,2025-01-01,B03,Day Pass,150,20
GS000065,2025-01-01,B04,Personal Training,650,380
GS000066,2025-01-01,B04,Personal Training,650,380
GS000067,2025-01-01,B04,Group Class,250,90
GS000068,2025-01-01,B04,Group Class,250,90
GS000069,2025-01-01,B04,Group Class,250,90
GS000070,2025-01-01,B04,Group Class,250,90
GS000071,2025-01-01,B04,Group Class,250,90
GS000072,2025-01-01,B04,Group Class,250,90
GS000073,2025-01-01,B04,Group Class,250,90
GS000074,2025-01-01,B04,Group Class,250,90
GS000075,2025-01-01,B04,Group Class,250,90
GS000076,2025-01-01,B04,Group Class,250,90
GS000077,2025-01-01,B04,Group Class,250,90
GS000078,2025-01-01,B04,Day Pass,150,20
GS000079,2025-01-01,B04,Day Pass,150,20
GS000080,2025-01-01,B04,Day Pass,150,20
GS000081,2025-01-01,B04,Day Pass,150,20
GS000082,2025-01-01,B04,Day Pass,150,20
GS000083,2025-01-01,B04,Day Pass,150,20
GS000084,2025-01-01,B04,Day Pass,150,20
GS000085,2025-01-01,B05,Personal Training,650,380
GS000086,2025-01-01,B05,Personal Training,650,380
GS000087,2025-01-01,B05,Personal Training,650,380
GS000088,2025-01-01,B05,Personal Training,650,380
GS000089,2025-01-01,B05,Group Class,250,90
GS000090,2025-01-01,B05,Group Class,250,90
GS000091,2025-01-01,B05,Group Class,250,90
GS000092,2025-01-01,B05,Group Class,250,90
GS000093,2025-01-01,B05,Group Class,250,90
GS000094,2025-01-01,B05,Group Class,250,90
GS000095,2025-01-01,B05,Group Class,250,90
GS000096,2025-01-01,B05,Group Class,250,90
GS000097,2025-01-01,B05,Group Class,250,90
GS000098,2025-01-01,B05,Group Class,250,90
GS000099,2025-01-01,B05,Group Class,250,90
GS000100,2025-01-01,B05,Group Class,250,90
GS000101,2025-01-01,B05,Group Class,250,90
GS000102,2025-01-01,B05,Day Pass,150,20
GS000103,2025-01-01,B05,Day Pass,150,20
GS000104,2025-01-01,B05,Day Pass,150,20
GS000105,2025-01-01,B05,Day Pass,150,20
GS000106,2025-01-01,B05,Day Pass,150,20
GS000107,2025-01-01,B05,Day Pass,150,20
GS000108,2025-01-01,B05,Day Pass,150,20
