visit_date,branch_id,check_ins
2025-01-01,B01,164
2025-01-01,B02,222
2025-01-01,B03,97
2025-01-01,B04,169
2025-01-01,B05,191
2025-01-02,B01,177
2025-01-02,B02,201
2025-01-02,B03,88
2025-01-02,B04,164
2025-01-02,B05,178
2025-01-03,B01,191
2025-01-03,B02,198
2025-01-03,B03,94
2025-01-03,B04,140
2025-01-03,B05,152
2025-01-04,B01,154
2025-01-04,B02,183
2025-01-04,B03,70
2025-01-04,B04,107
2025-01-04,B05,130
2025-01-05,B01,117
2025-01-05,B02,135
2025-01-05,B03,75
2025-01-05,B04,93
2025-01-05,B05,128
2025-01-06,B01,165
2025-01-06,B02,187
2025-01-06,B03,80
2025-01-06,B04,146
2025-01-06,B05,159
2025-01-07,B01,158
2025-01-07,B02,223
2025-01-07,B03,88
2025-01-07,B04,149
2025-01-07,B05,149
2025-01-08,B01,146
2025-01-08,B02,180
2025-01-08,B03,104
2025-01-08,B04,160
2025-01-08,B05,161
2025-01-09,B01,150
2025-01-09,B02,183
2025-01-09,B03,73
2025-01-09,B04,158
2025-01-09,B05,136
2025-01-10,B01,172
2025-01-10,B02,167
2025-01-10,B03,90
2025-01-10,B04,146
2025-01-10,B05,162
2025-01-11,B01,114
2025-01-11,B02,148
2025-01-11,B03,70
2025-01-11,B04,120
2025-01-11,B05,122
2025-01-12,B01,120
2025-01-12,B02,116
2025-01-12,B03,66
2025-01-12,B04,91
2025-01-12,B05,108
2025-01-13,B01,155
2025-01-13,B02,178
2025-01-13,B03,94
2025-01-13,B04,149
2025-01-13,B05,155
2025-01-14,B01,147
2025-01-14,B02,179
2025-01-14,B03,88
2025-01-14,B04,132
2025-01-14,B05,153
2025-01-15,B01,146
2025-01-15,B02,192
2025-01-15,B03,96
2025-01-15,B04,150
2025-01-15,B05,162
2025-01-16,B01,149
2025-01-16,B02,177
2025-01-16,B03,80
2025-01-16,B04,151
2025-01-16,B05,143
2025-01-17,B01,164
2025-01-17,B02,179
2025-01-17,B03,81
2025-01-17,B04,164
2025-01-17,B05,142
2025-01-18,B01,131
2025-01-18,B02,151
2025-01-18,B03,71
2025-01-18,B04,115
2025-01-18,B05,128
2025-01-19,B01,108
2025-01-19,B02,99
2025-01-19,B03,58
2025-01-19,B04,94
2025-01-19,B05,114
2025-01-20,B01,182
2025-01-20,B02,197
2025-01-20,B03,72
2025-01-20,B04,134
2025-01-20,B05,150
2025-01-21,B01,163
2025-01-21,B02,181
2025-01-21,B03,88
2025-01-21,B04,142
2025-01-21,B05,150
2025-01-22,B01,159
2025-01-22,B02,183
2025-01-22,B03,82
2025-01-22,B04,163
2025-01-22,B05,172
2025-01-23,B01,185
2025-01-23,B02,186
2025-01-23,B03,74
2025-01-23,B04,156
2025-01-23,B05,146
2025-01-24,B01,155
2025-01-24,B02,187
2025-01-24,B03,75
2025-01-24,B04,159
2025-01-24,B05,142
2025-01-25,B01,106
2025-01-25,B02,137
2025-01-25,B03,63
2025-01-25,B04,121
2025-01-25,B05,110
2025-01-26,B01,104
2025-01-26,B02,122
2025-01-26,B03,58
2025-01-26,B04,90
2025-01-26,B05,115
2025-01-27,B01,172
2025-01-27,B02,185
2025-01-27,B03,70
2025-01-27,B04,137
2025-01-27,B05,152
2025-01-28,B01,169
2025-01-28,B02,187
2025-01-28,B03,99
2025-01-28,B04,127
2025-01-28,B05,158
2025-01-29,B01,145
2025-01-29,B02,187
2025-01-29,B03,87
2025-01-29,B04,143
2025-01-29,B05,146
2025-01-30,B01,140
2025-01-30,B02,197
2025-01-30,B03,81
2025-01-30,B04,128
2025-01-30,B05,148
2025-01-31,B01,186
2025-01-31,B02,186
2025-01-31,B03,80
2025-01-31,B04,138
2025-01-31,B05,148
2025-02-01,B01,128
2025-02-01,B02,150
2025-02-01,B03,68
2025-02-01,B04,124
2025-02-01,B05,103
2025-02-02,B01,109
2025-02-02,B02,129
2025-02-02,B03,56
2025-02-02,B04,98
2025-02-02,B05,91
2025-02-03,B01,173
2025-02-03,B02,193
2025-02-03,B03,78
2025-02-03,B04,150
2025-02-03,B05,156
2025-02-04,B01,152
2025-02-04,B02,196
2025-02-04,B03,91
2025-02-04,B04,155
2025-02-04,B05,137
2025-02-05,B01,155
2025-02-05,B02,193
2025-02-05,B03,88
2025-02-05,B04,163
2025-02-05,B05,143
2025-02-06,B01,166
2025-02-06,B02,205
2025-02-06,B03,66
2025-02-06,B04,132
2025-02-06,B05,162
2025-02-07,B01,168
2025-02-07,B02,192
2025-02-07,B03,87
2025-02-07,B04,129
2025-02-07,B05,162
2025-02-08,B01,118
2025-02-08,B02,158
2025-02-08,B03,78
2025-02-08,B04,111
2025-02-08,B05,113
2025-02-09,B01,119
2025-02-09,B02,118
2025-02-09,B03,67
2025-02-09,B04,111
2025-02-09,B05,101
2025-02-10,B01,171
2025-02-10,B02,168
2025-02-10,B03,91
2025-02-10,B04,156
2025-02-10,B05,141
2025-02-11,B01,153
2025-02-11,B02,229
2025-02-11,B03,96
2025-02-11,B04,150
2025-02-11,B05,155
2025-02-12,B01,158
2025-02-12,B02,192
2025-02-12,B03,103
2025-02-12,B04,162
2025-02-12,B05,154
2025-02-13,B01,174
2025-02-13,B02,184
2025-02-13,B03,95
2025-02-13,B04,146
2025-02-13,B05,133
2025-02-14,B01,152
2025-02-14,B02,188
2025-02-14,B03,89
2025-02-14,B04,130
2025-02-14,B05,150
2025-02-15,B01,124
2025-02-15,B02,141
2025-02-15,B03,87
2025-02-15,B04,103
2025-02-15,B05,108
2025-02-16,B01,124
2025-02-16,B02,124
2025-02-16,B03,68
2025-02-16,B04,93
2025-02-16,B05,88
2025-02-17,B01,182
2025-02-17,B02,186
2025-02-17,B03,82
2025-02-17,B04,152
2025-02-17,B05,176
2025-02-18,B01,168
2025-02-18,B02,173
2025-02-18,B03,91
2025-02-18,B04,138
2025-02-18,B05,122
2025-02-19,B01,183
2025-02-19,B02,183
2025-02-19,B03,105
2025-02-19,B04,142
2025-02-19,B05,144
2025-02-20,B01,164
2025-02-20,B02,202
2025-02-20,B03,89
2025-02-20,B04,129
2025-02-20,B05,157
2025-02-21,B01,169
2025-02-21,B02,199
2025-02-21,B03,97
2025-02-21,B04,137
2025-02-21,B05,131
2025-02-22,B01,122
2025-02-22,B02,158
2025-02-22,B03,83
2025-02-22,B04,111
2025-02-22,B05,106
2025-02-23,B01,120
2025-02-23,B02,131
2025-02-23,B03,65
2025-02-23,B04,87
2025-02-23,B05,115
2025-02-24,B01,174
2025-02-24,B02,205
2025-02-24,B03,102
2025-02-24,B04,132
2025-02-24,B05,130
2025-02-25,B01,184
2025-02-25,B02,192
2025-02-25,B03,95
2025-02-25,B04,134
2025-02-25,B05,130
