payment_id,member_id,branch_id,plan_id,payment_date,payment_type,amount,period_end
PAY010038,M00001,B01,P5,2025-09-19,Renewal,13500,2026-09-19
PAY009134,M00002,B01,P5,2025-07-25,Renewal,13500,2026-07-25
PAY005338,M00003,B01,P2,2025-01-09,Renewal,1100,2025-02-09
PAY005339,M00004,B01,P3,2025-01-18,Renewal,4000,2025-04-18
PAY007584,M00004,B01,P3,2025-04-17,Renewal,4000,2025-07-17
PAY009119,M00004,B01,P3,2025-07-26,Renewal,4000,2025-10-26
PAY010504,M00004,B01,P3,2025-10-21,Renewal,4000,2026-01-21
PAY011550,M00004,B01,P3,2026-01-22,Renewal,4000,2026-04-22
PAY012788,M00004,B01,P3,2026-04-18,Renewal,4000,2026-07-18
PAY005108,M00006,B01,P1,2025-01-11,Renewal,1500,2025-02-11
PAY006077,M00006,B01,P1,2025-02-13,Renewal,1500,2025-03-13
PAY006829,M00006,B01,P1,2025-03-17,Renewal,1500,2025-04-17
PAY007563,M00006,B01,P1,2025-04-13,Renewal,1500,2025-05-13
PAY005267,M00007,B01,P1,2025-01-23,Renewal,1500,2025-02-23
PAY005694,M00008,B01,P2,2025-01-31,Renewal,1100,2025-02-28
PAY004946,M00009,B01,P2,2025-01-11,Renewal,1100,2025-02-11
PAY006078,M00009,B01,P2,2025-02-13,Renewal,1100,2025-03-13
PAY006830,M00009,B01,P3,2025-03-23,Renewal,4000,2025-06-23
PAY005525,M00016,B01,P1,2025-01-18,Renewal,1500,2025-02-18
PAY006245,M00016,B01,P1,2025-03-01,Renewal,1500,2025-04-01
PAY007210,M00016,B01,P1,2025-04-11,Renewal,1500,2025-05-11
PAY008039,M00016,B01,P1,2025-05-16,Renewal,1500,2025-06-16
PAY005374,M00017,B01,P3,2025-01-17,Renewal,4000,2025-04-17
PAY007564,M00017,B01,P3,2025-04-14,Renewal,4000,2025-07-14
PAY009060,M00017,B01,P3,2025-07-25,Renewal,4000,2025-10-25
PAY010491,M00017,B01,P3,2025-10-24,Renewal,4000,2026-01-24
PAY011591,M00017,B01,P3,2026-01-22,Renewal,4000,2026-04-22
PAY012789,M00017,B01,P3,2026-04-26,Renewal,4000,2026-07-26
PAY006790,M00018,B01,P4,2025-03-14,Renewal,7500,2025-09-14
PAY009941,M00018,B01,P4,2025-09-12,Renewal,7500,2026-03-12
PAY012221,M00018,B01,P4,2026-03-17,Renewal,7500,2026-09-17
PAY008934,M00019,B01,P5,2025-07-17,Renewal,13500,2026-07-17
PAY006302,M00020,B01,P3,2025-03-03,Renewal,4000,2025-06-03
PAY008393,M00020,B01,P3,2025-06-11,Renewal,4000,2025-09-11
PAY009903,M00020,B01,P1,2025-09-06,Renewal,1500,2025-10-06
PAY010251,M00020,B01,P1,2025-10-09,Renewal,1500,2025-11-09
PAY010687,M00020,B01,P1,2025-11-19,Renewal,1500,2025-12-19
PAY011150,M00020,B01,P1,2025-12-26,Renewal,1500,2026-01-26
PAY011618,M00020,B01,P1,2026-02-06,Renewal,1500,2026-03-06
