member_id,branch_id,plan_id,expiring_payment_id,expiry_date,renewed,observable
M00001,B01,P5,PAY000001,2025-09-21,1,1
M00002,B01,P5,PAY000002,2025-07-18,1,1
M00003,B01,P2,PAY000003,2025-01-14,1,1
M00003,B01,P2,PAY005338,2025-02-09,0,1
M00004,B01,P3,PAY000004,2025-01-14,1,1
M00004,B01,P3,PAY005339,2025-04-18,1,1
M00004,B01,P3,PAY007584,2025-07-17,1,1
M00004,B01,P3,PAY009119,2025-10-26,1,1
M00004,B01,P3,PAY010504,2026-01-21,1,1
M00004,B01,P3,PAY011550,2026-04-22,1,1
M00005,B01,P2,PAY000005,2025-01-09,0,1
M00006,B01,P1,PAY000006,2025-01-07,1,1
M00006,B01,P1,PAY005108,2025-02-11,1,1
M00006,B01,P1,PAY006077,2025-03-13,1,1
M00006,B01,P1,PAY006829,2025-04-17,1,1
M00006,B01,P1,PAY007563,2025-05-13,0,1
M00007,B01,P1,PAY000007,2025-01-12,1,1
M00007,B01,P1,PAY005267,2025-02-23,0,1
M00008,B01,P2,PAY000008,2025-01-26,1,1
M00008,B01,P2,PAY005694,2025-02-28,0,1
M00009,B01,P2,PAY000009,2025-01-02,1,1
M00009,B01,P2,PAY004946,2025-02-11,1,1
M00009,B01,P2,PAY006078,2025-03-13,1,1
M00009,B01,P3,PAY006830,2025-06-23,0,1
M00010,B01,P3,PAY000010,2025-01-31,0,1
M00011,B01,P3,PAY000011,2025-02-18,0,1
M00012,B01,P5,PAY000012,2025-05-02,0,1
M00013,B01,P5,PAY000013,2025-07-23,0,1
M00014,B01,P1,PAY000014,2025-01-17,0,1
M00015,B01,P3,PAY000015,2025-02-17,0,1
M00016,B01,P1,PAY000016,2025-01-20,1,1
M00016,B01,P1,PAY005525,2025-02-18,1,1
M00016,B01,P1,PAY006245,2025-04-01,1,1
M00016,B01,P1,PAY007210,2025-05-11,1,1
M00016,B01,P1,PAY008039,2025-06-16,0,1
M00017,B01,P3,PAY000017,2025-01-15,1,1
M00017,B01,P3,PAY005374,2025-04-17,1,1
M00017,B01,P3,PAY007564,2025-07-14,1,1
M00017,B01,P3,PAY009060,2025-10-25,1,1
M00017,B01,P3,PAY010491,2026-01-24,1,1
M00017,B01,P3,PAY011591,2026-04-22,1,1
M00018,B01,P4,PAY000018,2025-03-11,1,1
M00018,B01,P4,PAY006790,2025-09-14,1,1
M00018,B01,P4,PAY009941,2026-03-12,1,1
M00019,B01,P5,PAY000019,2025-07-06,1,1
M00020,B01,P3,PAY000020,2025-02-20,1,1
M00020,B01,P3,PAY006302,2025-06-03,1,1
M00020,B01,P3,PAY008393,2025-09-11,1,1
M00020,B01,P1,PAY009903,2025-10-06,1,1
M00020,B01,P1,PAY010251,2025-11-09,1,1
M00020,B01,P1,PAY010687,2025-12-19,1,1
M00020,B01,P1,PAY011150,2026-01-26,1,1
M00020,B01,P1,PAY011618,2026-03-06,1,1
M00020,B01,P1,PAY012136,2026-04-03,0,1
M00021,B01,P2,PAY000021,2025-01-20,1,1
M00021,B01,P2,PAY005526,2025-02-28,0,1
M00022,B01,P1,PAY000022,2025-01-14,1,1
M00022,B01,P1,PAY005340,2025-02-17,1,1
M00022,B01,P1,PAY006221,2025-03-19,1,1
M00022,B01,P1,PAY006955,2025-04-20,1,1
M00022,B01,P1,PAY007621,2025-05-15,1,1
M00022,B01,P1,PAY008107,2025-06-12,0,1
M00023,B01,P1,PAY000023,2025-01-10,1,1
M00023,B01,P1,PAY005195,2025-02-05,1,1
M00023,B01,P1,PAY005937,2025-03-11,0,1
M00024,B01,P5,PAY000024,2025-01-04,1,1
M00024,B01,P5,PAY005025,2026-01-04,1,1
M00025,B01,P5,PAY000025,2025-08-01,1,1
M00026,B01,P2,PAY000026,2025-01-21,1,1
M00026,B01,P2,PAY005549,2025-02-23,1,1
M00026,B01,P2,PAY006384,2025-04-05,1,1
M00026,B01,P2,PAY007301,2025-05-14,1,1
M00026,B01,P2,PAY008081,2025-06-10,0,1
M00027,B01,P1,PAY000027,2025-01-17,1,1
M00027,B01,P1,PAY005429,2025-02-20,1,1
M00027,B01,P1,PAY006303,2025-03-19,1,1
M00027,B01,P1,PAY006956,2025-04-14,1,1
M00027,B01,P1,PAY007504,2025-05-25,0,1
M00028,B01,P1,PAY000028,2025-01-08,0,1
M00029,B01,P1,PAY000029,2025-01-04,1,1
M00029,B01,P1,PAY005026,2025-02-07,1,1
M00029,B01,P1,PAY005986,2025-03-09,1,1
