month,branch_id,business_unit,expense_category,amount
2025-01,B01,Gym,Staff Salaries,118490.34
2025-01,B01,Gym,Rent,77012.37
2025-01,B01,Gym,Utilities,39020.07
2025-01,B01,Gym,Supplies & Maintenance,17288.82
2025-01,B01,Bar,Staff Salaries,121075.21
2025-01,B01,Bar,Rent,73626.21
2025-01,B01,Bar,Utilities,34943.35
2025-01,B01,Bar,Supplies & Maintenance,18173.35
2025-01,B02,Gym,Staff Salaries,133832.66
2025-01,B02,Gym,Rent,88008.29
2025-01,B02,Gym,Utilities,45561.76
2025-01,B02,Gym,Supplies & Maintenance,19987.98
2025-01,B02,Bar,Staff Salaries,135585.47
2025-01,B02,Bar,Rent,83913.29
2025-01,B02,Bar,Utilities,44812.0
2025-01,B02,Bar,Supplies & Maintenance,20562.07
2025-01,B03,Gym,Staff Salaries,79275.16
2025-01,B03,Gym,Rent,51239.65
2025-01,B03,Gym,Utilities,25618.08
2025-01,B03,Gym,Supplies & Maintenance,10558.21
2025-01,B03,Bar,Staff Salaries,98595.31
2025-01,B03,Bar,Rent,60564.66
2025-01,B03,Bar,Utilities,30367.51
2025-01,B03,Bar,Supplies & Maintenance,14686.92
2025-01,B04,Gym,Staff Salaries,168883.49
2025-01,B04,Gym,Rent,98053.52
2025-01,B04,Gym,Utilities,48739.82
2025-01,B04,Gym,Supplies & Maintenance,23580.13
2025-01,B04,Bar,Staff Salaries,131230.38
2025-01,B04,Bar,Rent,86974.42
2025-01,B04,Bar,Utilities,42962.12
2025-01,B04,Bar,Supplies & Maintenance,20687.37
2025-01,B05,Gym,Staff Salaries,188191.73
2025-01,B05,Gym,Rent,116096.1
2025-01,B05,Gym,Utilities,59761.64
2025-01,B05,Gym,Supplies & Maintenance,27273.97
2025-01,B05,Bar,Staff Salaries,172552.24
2025-01,B05,Bar,Rent,104778.26
2025-01,B05,Bar,Utilities,51347.92
2025-01,B05,Bar,Supplies & Maintenance,23558.97
2025-02,B01,Gym,Staff Salaries,118375.68
2025-02,B01,Gym,Rent,74220.26
2025-02,B01,Gym,Utilities,38726.95
2025-02,B01,Gym,Supplies & Maintenance,17276.86
2025-02,B01,Bar,Staff Salaries,113101.92
2025-02,B01,Bar,Rent,72285.06
2025-02,B01,Bar,Utilities,36339.06
2025-02,B01,Bar,Supplies & Maintenance,16769.66
2025-02,B02,Gym,Staff Salaries,134787.7
2025-02,B02,Gym,Rent,88601.6
2025-02,B02,Gym,Utilities,41444.26
2025-02,B02,Gym,Supplies & Maintenance,20454.77
2025-02,B02,Bar,Staff Salaries,136740.81
2025-02,B02,Bar,Rent,86305.06
2025-02,B02,Bar,Utilities,44896.1
2025-02,B02,Bar,Supplies & Maintenance,20212.5
2025-02,B03,Gym,Staff Salaries,76864.15
2025-02,B03,Gym,Rent,50269.89
2025-02,B03,Gym,Utilities,26098.71
2025-02,B03,Gym,Supplies & Maintenance,12076.43
2025-02,B03,Bar,Staff Salaries,95034.85
2025-02,B03,Bar,Rent,63178.94
2025-02,B03,Bar,Utilities,29666.05
2025-02,B03,Bar,Supplies & Maintenance,14661.38
2025-02,B04,Gym,Staff Salaries,161139.11
2025-02,B04,Gym,Rent,100966.88
2025-02,B04,Gym,Utilities,51760.48
2025-02,B04,Gym,Supplies & Maintenance,23730.26
2025-02,B04,Bar,Staff Salaries,148504.26
2025-02,B04,Bar,Rent,85349.24
2025-02,B04,Bar,Utilities,43925.09
2025-02,B04,Bar,Supplies & Maintenance,22534.44
2025-02,B05,Gym,Staff Salaries,176557.52
2025-02,B05,Gym,Rent,116069.72
2025-02,B05,Gym,Utilities,56715.87
2025-02,B05,Gym,Supplies & Maintenance,25596.11
2025-02,B05,Bar,Staff Salaries,173277.8
2025-02,B05,Bar,Rent,104407.13
2025-02,B05,Bar,Utilities,50546.71
2025-02,B05,Bar,Supplies & Maintenance,23871.28
2025-03,B01,Gym,Staff Salaries,114124.67
2025-03,B01,Gym,Rent,75202.98
2025-03,B01,Gym,Utilities,35973.74
2025-03,B01,Gym,Supplies & Maintenance,17189.05
2025-03,B01,Bar,Staff Salaries,118844.66
2025-03,B01,Bar,Rent,76008.6
2025-03,B01,Bar,Utilities,35603.22
2025-03,B01,Bar,Supplies & Maintenance,17054.01
2025-03,B02,Gym,Staff Salaries,124022.49
2025-03,B02,Gym,Rent,85838.6
2025-03,B02,Gym,Utilities,41846.54
2025-03,B02,Gym,Supplies & Maintenance,21108.95
2025-03,B02,Bar,Staff Salaries,138104.52
2025-03,B02,Bar,Rent,86107.3
2025-03,B02,Bar,Utilities,43127.25
2025-03,B02,Bar,Supplies & Maintenance,18930.07
2025-03,B03,Gym,Staff Salaries,80848.15
2025-03,B03,Gym,Rent,52318.65
2025-03,B03,Gym,Utilities,25804.51
2025-03,B03,Gym,Supplies & Maintenance,10662.41
2025-03,B03,Bar,Staff Salaries,96952.43
2025-03,B03,Bar,Rent,62719.41
2025-03,B03,Bar,Utilities,31963.05
2025-03,B03,Bar,Supplies & Maintenance,13117.83
2025-03,B04,Gym,Staff Salaries,152080.09
2025-03,B04,Gym,Rent,99872.04
2025-03,B04,Gym,Utilities,48876.34
2025-03,B04,Gym,Supplies & Maintenance,23234.18
2025-03,B04,Bar,Staff Salaries,135133.81
2025-03,B04,Bar,Rent,83308.84
2025-03,B04,Bar,Utilities,44979.43
2025-03,B04,Bar,Supplies & Maintenance,20395.97
2025-03,B05,Gym,Staff Salaries,174985.73
2025-03,B05,Gym,Rent,112156.02
2025-03,B05,Gym,Utilities,58846.87
2025-03,B05,Gym,Supplies & Maintenance,27802.55
2025-03,B05,Bar,Staff Salaries,186082.86
2025-03,B05,Bar,Rent,101426.01
