payment_id,member_id,branch_id,plan_id,payment_date,payment_type,amount
PAY003250,M03250,B04,P5,2024-01-03,New,13500
PAY000024,M00024,B01,P5,2024-01-04,Renewal,13500
PAY004181,M04181,B05,P5,2024-01-05,New,13500
PAY003260,M03260,B04,P5,2024-01-07,New,13500
PAY002703,M02703,B03,P5,01/10/2024,New,13500
PAY001475,M01475,B02,P5,2024-01-11,New,13500
PAY000212,M00212,B01,P5,2024-01-13,Renewal,13500
PAY002687,M02687,B03,P5,01/13/2024,New,13500
PAY002599,M02599,B03,P5,01/16/2024,New,13500
PAY002627,M02627,B03,P5,01/19/2024,Renewal,13500
PAY003990,M03990,B05,P5,2024-01-20,New,13500
PAY000380,M00380,B01,P5,2024-01-22,Renewal,13500
PAY004031,M04031,B05,P5,2024-01-23,New,13500
PAY001298,M01298,B02,P5,2024-01-25,New,13500
PAY003398,M03398,B04,P5,2024-01-26,New,13500
PAY004172,M04172,B05,P5,2024-01-27,New,13500
PAY001628,M01628,B02,P5,2024-01-28,Renewal,13500
PAY004155,M04155,B05,P5,2024-01-30,New,13500
PAY004227,M04227,B05,P5,2024-01-30,New,13500
PAY002542,M02542,B03,P5,01/31/2024,Renewal,13500
PAY003386,M03386,B04,P5,2024-01-31,New,13500
PAY002616,M02616,B03,P5,02/01/2024,Renewal,13500
PAY003384,M03384,B04,P5,2024-02-04,New,13500
PAY003150,M03150,B04,P5,2024-02-05,New,13500
PAY001393,M01393,B02,P5,2024-02-07,Renewal,13500
PAY003281,M03281,B04,P5,2024-02-12,New,13500
PAY002611,M02611,B03,P5,02/13/2024,Renewal,13500
PAY004000,M04000,B05,P5,2024-02-16,New,13500
PAY003119,M03119,B04,P5,2024-02-16,New,13500
PAY000295,M00295,B01,P5,2024-02-17,New,13500
PAY000347,M00347,B01,P5,2024-02-17,New,13500
PAY004314,M04314,B05,P5,2024-02-21,New,13500
PAY003165,M03165,B04,P5,2024-02-22,New,13500
PAY000256,M00256,B01,P5,2024-02-22,Renewal,13500
PAY002700,M02700,B03,P5,02/23/2024,Renewal,13500
PAY004123,M04123,B05,P5,2024-02-25,New,13500
PAY003351,M03351,B04,P5,2024-02-26,New,13500
PAY000081,M00081,B01,P5,2024-03-02,Renewal,13500
PAY000082,M00082,B01,P5,2024-03-08,Renewal,13500
PAY002547,M02547,B03,P5,03/08/2024,Renewal,13500
PAY002640,M02640,B03,P5,03/08/2024,Renewal,13500
PAY002620,M02620,B03,P5,03/09/2024,Renewal,13500
PAY003213,M03213,B04,P5,2024-03-10,Renewal,13500
PAY004069,M04069,B05,P5,2024-03-16,New,13500
PAY000404,M00404,B01,P5,2024-03-17,Renewal,13500
PAY003466,M03466,B04,P5,2024-03-17,Renewal,13500
PAY001312,M01312,B02,P5,2024-03-17,New,13500
PAY003255,M03255,B04,P5,2024-03-22,New,13500
PAY001187,M01187,B02,P5,2024-03-26,New,13500
PAY001447,M01447,B02,P5,2024-03-26,Renewal,13500
PAY003430,M03430,B04,P5,2024-03-27,Renewal,13500
PAY001225,M01225,B02,P5,2024-03-28,Renewal,13500
PAY000184,M00184,B01,P5,2024-03-31,Renewal,13500
PAY004048,M04048,B05,P5,2024-04-01,New,13500
PAY000418,M00418,B01,P5,2024-04-03,Renewal,13500
PAY000370,M00370,B01,P5,2024-04-04,Renewal,13500
PAY003224,M03224,B04,P5,2024-04-05,Renewal,13500
PAY004290,M04290,B05,P5,2024-04-07,New,13500
PAY000092,M00092,B01,P5,2024-04-09,Renewal,13500
PAY004118,M04118,B05,P5,2024-04-10,New,13500
PAY004029,M04029,B05,P5,2024-04-12,New,13500
PAY001197,M01197,B02,P5,2024-04-15,Renewal,13500
PAY000074,M00074,B01,P5,2024-04-15,Renewal,13500
PAY000052,M00052,B01,P5,2024-04-16,Renewal,13500
PAY000276,M00276,B01,P5,2024-04-17,Renewal,13500
PAY001574,M01574,B02,P5,2024-04-19,Renewal,13500
PAY002725,M02725,B03,P5,04/22/2024,Renewal,13500
PAY004089,M04089,B05,P5,2024-04-22,New,13500
PAY000324,M00324,B01,P5,2024-04-22,Renewal,13500
PAY000266,M00266,B01,P5,2024-04-24,Renewal,13500
PAY003425,M03425,B04,P5,2024-04-24,Renewal,13500
PAY003469,M03469,B04,P5,2024-04-24,Renewal,13500
PAY003242,M03242,B04,P5,2024-04-26,New,13500
PAY000012,M00012,B01,P5,2024-05-02,New,13500
PAY000125,M00125,B01,P5,2024-05-03,Renewal,13500
PAY004234,M04234,B05,P5,2024-05-04,New,13500
PAY002623,M02623,B03,P5,05/10/2024,Renewal,13500
PAY004256,M04256,B05,P5,2024-05-12,New,13500
PAY004257,M04257,B05,P5,2024-05-19,New,13500
PAY001584,M01584,B02,P5,2024-05-20,Renewal,13500
PAY003378,M03378,B04,P5,2024-05-21,New,13500
PAY000136,M00136,B01,P5,2024-05-26,Renewal,13500
PAY001318,M01318,B02,P5,2024-05-26,Renewal,13500
PAY001272,M01272,B02,P5,2024-05-27,Renewal,13500
PAY000099,M00099,B01,P5,2024-05-29,New,13500
PAY000362,M00362,B01,P5,2024-05-31,Renewal,13500
PAY003984,M03984,B05,P5,2024-06-02,New,13500
PAY002646,M02646,B03,P5,06/04/2024,Renewal,13500
PAY003241,M03241,B04,P5,2024-06-04,Renewal,13500
PAY004032,M04032,B05,P5,2024-06-05,New,13500
PAY001207,M01207,B02,P5,2024-06-07,Renewal,13500
PAY003301,M03301,B04,P5,2024-06-13,Renewal,13500
PAY000036,M00036,B01,P5,2024-06-14,Renewal,13500
PAY003212,M03212,B04,P5,2024-06-15,Renewal,13500
PAY000155,M00155,B01,P5,2024-06-15,Renewal,13500
PAY001529,M01529,B02,P5,2024-06-17,Renewal,13500
PAY004046,M04046,B05,P5,2024-06-19,New,13500
PAY004094,M04094,B05,P5,2024-06-29,New,13500
PAY003978,M03978,B05,P5,2024-06-29,New,13500
PAY000406,M00406,B01,P5,2024-07-01,Renewal,13500
PAY004215,M04215,B05,P5,2024-07-01,New,13500
PAY002591,M02591,B03,P5,07/01/2024,New,13500
PAY000374,M00374,B01,P4,2024-07-02,Renewal,7500
PAY002513,M02513,B03,P4,07/02/2024,Renewal,7500
PAY000083,M00083,B01,P5,2024-07-03,Renewal,13500
PAY002516,M02516,B03,P4,07/03/2024,Renewal,7500
PAY001434,M01434,B02,P5,2024-07-03,Renewal,13500
PAY003325,M03325,B04,P5,2024-07-03,Renewal,13500
PAY001618,M01618,B02,P5,2024-07-04,New,13500
PAY001639,M01639,B02,P4,2024-07-04,Renewal,7500
PAY000424,M00424,B01,P4,2024-07-04,Renewal,7500
PAY003245,M03245,B04,P5,2024-07-05,Renewal,13500
PAY004161,M04161,B05,P5,2024-07-05,New,13500
PAY000019,M00019,B01,P5,2024-07-06,Renewal,13500
PAY000285,M00285,B01,P4,2024-07-06,Renewal,7500
PAY003271,M03271,B04,P5,2024-07-07,Renewal,13500
PAY004366,M04366,B05,P5,2024-07-07,New,13500
PAY001266,M01266,B02,P4,2024-07-08,Renewal,7500
PAY003336,M03336,B04,P4,2024-07-08,Renewal,7500
PAY001288,M01288,B02,P4,2024-07-09,Renewal,7500
PAY003216,M03216,B04,P5,2024-07-09,Renewal,13500
PAY001241,M01241,B02,P5,2024-07-09,Renewal,13500
PAY000250,M00250,B01,P5,2024-07-09,New,13500
PAY000337,M00337,B01,P5,2024-07-10,New,13500
PAY001354,M01354,B02,P5,2024-07-10,Renewal,13500
PAY003460,M03460,B04,P5,2024-07-10,New,13500
PAY001203,M01203,B02,P4,2024-07-10,Renewal,7500
PAY003265,M03265,B04,P5,2024-07-10,Renewal,13500
PAY000328,M00328,B01,P4,2024-07-11,Renewal,7500
PAY003348,M03348,B04,P4,2024-07-12,Renewal,7500
PAY004141,M04141,B05,P5,2024-07-12,New,13500
PAY001199,M01199,B02,P4,2024-07-12,Renewal,7500
PAY000087,M00087,B01,P4,2024-07-12,Renewal,7500
PAY000279,M00279,B01,P4,2024-07-12,Renewal,7500
PAY003991,M03991,B05,P4,2024-07-13,New,7500
PAY000113,M00113,B01,P5,2024-07-13,Renewal,13500
